Date,Linalg norm,Name
2020/05/20/19/59/29,0.4053338770518649,Rasmus
2020/05/20/19/59/29,0.33638323110764834,Unknown
2020/05/20/19/59/29,0.39452976962962816,Unknown
2020/05/20/19/59/29,0.36458440239459067,Unknown
2020/05/20/19/59/29,0.41397875679136975,Rasmus
2020/05/20/19/59/29,0.3346079775208014,Unknown
2020/05/20/19/59/29,0.30215804090714105,Unknown
2020/05/20/19/59/29,0.27095651904554163,Unknown
2020/05/20/19/59/29,0.3430078728433709,Unknown
2020/05/20/19/59/29,0.2917873584347773,Unknown
2020/05/20/19/59/29,0.4849010355710591,EvannaLynch
2020/05/20/19/59/29,0.3697133308870472,Unknown
2020/05/20/19/59/29,0.25721398168004783,Unknown
2020/05/20/19/59/29,0.2939810829595713,Unknown
2020/05/20/19/59/29,0.3061827281573426,Unknown
2020/05/20/19/59/29,0.3387815259012568,Unknown
2020/05/20/19/59/29,0.3987792936730173,Unknown
2020/05/20/19/59/29,0.3139899278629629,Unknown
2020/05/20/19/59/29,0.3459600606451674,Unknown
2020/05/20/19/59/37,0.3008264096299708,Unknown
2020/05/20/19/59/37,0.317828059301821,Unknown
2020/05/20/19/59/37,0.3496698283374322,Unknown
2020/05/20/19/59/37,0.3382109025634857,Unknown
2020/05/20/19/59/37,0.4015680986212259,ChristopherLee
2020/05/20/19/59/37,0.3565666945734287,Unknown
2020/05/20/19/59/37,0.3669210899064066,Unknown
2020/05/20/19/59/37,0.3209264279425044,Unknown
2020/05/20/19/59/37,0.2989013904689952,Unknown
2020/05/20/19/59/37,0.37468302033914935,Unknown
2020/05/20/19/59/37,0.4210321363453874,Rasmus
2020/05/20/19/59/37,0.3780298390560185,Unknown
2020/05/20/19/59/37,0.3384488469278029,Unknown
2020/05/20/19/59/37,0.2867229026475445,Unknown
2020/05/20/19/59/37,0.278873861395466,Unknown
2020/05/20/19/59/37,0.3941707065842964,Unknown
2020/05/20/19/59/37,0.2702293612671577,Unknown
2020/05/20/19/59/37,0.4202944179026151,BorgesMaria
